train_frac,seed,config,bbox_P,bbox_R,bbox_F1
0.8,10,se,0.978021978021978,0.8725490196078431,0.9222797927461139
0.8,10,cbam,0.9767441860465116,0.8235294117647058,0.8936170212765957
0.8,10,nonlocal,0.9882352941176471,0.8235294117647058,0.8983957219251337
0.8,10,coord,0.2125,0.6666666666666666,0.3222748815165877
0.8,11,se,0.9878048780487805,0.8526315789473684,0.9152542372881356
0.8,11,cbam,0.41711229946524064,0.8210526315789474,0.5531914893617021
0.8,11,nonlocal,0.9875,0.8315789473684211,0.9028571428571428
0.8,11,coord,0.8979591836734694,0.9263157894736842,0.911917098445596
0.8,12,se,0.9868421052631579,0.7978723404255319,0.8823529411764706
0.8,12,cbam,0.7755102040816326,0.8085106382978723,0.7916666666666665
0.8,12,nonlocal,0.9873417721518988,0.8297872340425532,0.9017341040462428
0.8,12,coord,0.5886524822695035,0.8829787234042553,0.7063829787234042
0.8,13,se,0.935064935064935,0.8372093023255814,0.8834355828220859
0.8,13,cbam,0.948051948051948,0.8488372093023255,0.8957055214723927
0.8,13,nonlocal,0.9295774647887324,0.7674418604651163,0.840764331210191
0.8,13,coord,0.6639344262295082,0.9418604651162791,0.7788461538461537
0.8,14,se,0.8409090909090909,0.8222222222222222,0.8314606741573033
0.8,14,cbam,0.6076923076923076,0.8777777777777778,0.718181818181818
0.8,14,nonlocal,0.9620253164556962,0.8444444444444444,0.8994082840236687
0.8,14,coord,0.8901098901098901,0.9,0.8950276243093923
0.8,15,se,0.42924528301886794,0.883495145631068,0.5777777777777777
0.8,15,cbam,0.7247706422018348,0.7669902912621359,0.7452830188679245
0.8,15,nonlocal,0.9431818181818182,0.8058252427184466,0.8691099476439791
0.8,15,coord,0.9791666666666666,0.912621359223301,0.9447236180904524
0.8,16,se,0.9743589743589743,0.76,0.853932584269663
0.8,16,cbam,0.9195402298850575,0.8,0.8556149732620321
0.8,16,nonlocal,0.7372881355932204,0.87,0.798165137614679
0.8,16,coord,0.9662921348314607,0.86,0.9100529100529101
0.8,17,se,0.9615384615384616,0.7653061224489796,0.8522727272727273
0.8,17,cbam,0.6638655462184874,0.8061224489795918,0.7281105990783411
0.8,17,nonlocal,0.02456140350877193,0.07142857142857142,0.03655352480417755
0.8,17,coord,0.9615384615384616,0.7653061224489796,0.8522727272727273
0.8,18,se,0.5254237288135594,0.7848101265822784,0.6294416243654822
0.8,18,cbam,0.6470588235294118,0.8354430379746836,0.7292817679558012
0.8,18,nonlocal,0.9523809523809523,0.759493670886076,0.8450704225352113
0.8,18,coord,0.8970588235294118,0.7721518987341772,0.8299319727891157
0.8,19,se,0.9397590361445783,0.7878787878787878,0.8571428571428572
0.8,19,cbam,0.797979797979798,0.797979797979798,0.7979797979797979
0.8,19,nonlocal,0.9259259259259259,0.7575757575757576,0.8333333333333334
0.8,19,coord,0.96,0.7272727272727273,0.8275862068965517
