train_frac,seed,config,lam_att,bbox_P,bbox_R,bbox_F1,attn_band_iou,attn_gap
0.8,10,abs,0.3,0.925531914893617,0.8529411764705882,0.8877551020408163,0.33415749606974415,0.3392113899853939
0.8,10,abs,0.5,0.14331210191082802,0.4411764705882353,0.21634615384615383,0.19597641746401123,0.23800990691233892
0.8,10,abs,1,0.9484536082474226,0.9019607843137255,0.9246231155778893,0.3136765855866979,0.3168246153686596
0.8,10,abs,3,0.8981481481481481,0.9509803921568627,0.9238095238095237,0.3426820375422986,0.35024840451842465
0.8,10,abs,5,0.9285714285714286,0.8921568627450981,0.9099999999999999,0.36322938680691114,0.3830904697188089
0.8,11,abs,0.3,0.9886363636363636,0.9157894736842105,0.9508196721311476,0.2686017447153664,0.28138491279218386
0.8,11,abs,0.5,0.9565217391304348,0.9263157894736842,0.9411764705882354,0.3512393575267194,0.4156017690284869
0.8,11,abs,1,0.8666666666666667,0.9578947368421052,0.91,0.34673895878296573,0.5492070148353495
0.8,11,abs,3,0.8888888888888888,0.9263157894736842,0.9072164948453608,0.45218642309879886,0.5567618482483311
0.8,11,abs,5,0.7652173913043478,0.9263157894736842,0.8380952380952381,0.4647846842994441,0.5481693231117641
0.8,12,abs,0.3,0.975609756097561,0.851063829787234,0.9090909090909092,0.3222803551053349,0.4515280917892972
0.8,12,abs,0.5,0.8876404494382022,0.8404255319148937,0.8633879781420766,0.3343897343690375,0.4910945366284558
0.8,12,abs,1,0.9761904761904762,0.8723404255319149,0.9213483146067415,0.3660259015312421,0.4790704105315464
0.8,12,abs,3,0.33076923076923076,0.4574468085106383,0.3839285714285714,0.35584568880948775,0.42613645204682904
0.8,12,abs,5,0.9545454545454546,0.8936170212765957,0.9230769230769231,0.38724705855746344,0.6107470163602441
0.8,13,abs,0.3,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.35736708578438203,0.46482780909106614
0.8,13,abs,0.5,0.9512195121951219,0.9069767441860465,0.9285714285714286,0.3579554551019447,0.5406032558974057
0.8,13,abs,1,0.974025974025974,0.872093023255814,0.9202453987730062,0.3876142265465781,0.5484685124755497
0.8,13,abs,3,0.146875,0.5465116279069767,0.2315270935960591,0.3069079568503956,0.3772691438447625
0.8,13,abs,5,0.9,0.9418604651162791,0.9204545454545455,0.4561011852363078,0.514562170531246
0.8,14,abs,0.3,0.9529411764705882,0.9,0.9257142857142857,0.3202904370806021,0.41148945811255544
0.8,14,abs,0.5,0.9518072289156626,0.8777777777777778,0.9132947976878613,0.36465418797477783,0.47241263474643347
0.8,14,abs,1,0.9879518072289156,0.9111111111111111,0.9479768786127168,0.3895973348969979,0.5114354667894077
0.8,14,abs,3,0.9302325581395349,0.8888888888888888,0.9090909090909092,0.4091259591989519,0.49427633463619713
0.8,14,abs,5,0.7181818181818181,0.8777777777777778,0.7899999999999999,0.4212191471708062,0.4852310931037209
0.8,15,abs,0.3,0.9056603773584906,0.9320388349514563,0.9186602870813397,0.3089054397234256,0.36291116873326246
0.8,15,abs,0.5,0.8623853211009175,0.912621359223301,0.8867924528301887,0.3303616161200217,0.3888254790672363
0.8,15,abs,1,0.753731343283582,0.9805825242718447,0.8523206751054851,0.35437532327079513,0.4675437311634596
0.8,15,abs,3,0.8773584905660378,0.9029126213592233,0.8899521531100479,0.3554907516226721,0.5460441628820263
0.8,15,abs,5,0.38132295719844356,0.9514563106796117,0.5444444444444444,0.4184570061236042,0.5084718035905098
0.8,16,abs,0.3,0.2532051282051282,0.79,0.38349514563106796,0.20964416041938452,0.2572967315572896
0.8,16,abs,0.5,0.9659090909090909,0.85,0.9042553191489362,0.2889925749792503,0.33139973243396526
0.8,16,abs,1,0.9278350515463918,0.9,0.9137055837563451,0.32016861028699,0.35620996830039076
0.8,16,abs,3,0.7166666666666667,0.86,0.7818181818181817,0.4056260402925596,0.45831457142776344
