train_frac,seed,config,lam_att,bbox_P,bbox_R,bbox_F1,attn_band_iou,attn_gap
0.8,10,none,-,0.7168141592920354,0.7941176470588235,0.7534883720930233,nan,nan
0.8,10,abs,1,0.9770114942528736,0.8333333333333334,0.8994708994708996,0.23336695431282453,0.2786480538561591
0.8,11,none,-,0.9861111111111112,0.7473684210526316,0.8502994011976047,nan,nan
0.8,11,abs,1,0.9558823529411765,0.6842105263157895,0.7975460122699386,0.2799727988350208,0.3460039631088054
0.8,12,none,-,0.8985507246376812,0.6595744680851063,0.7607361963190185,nan,nan
0.8,12,abs,1,0.9861111111111112,0.7553191489361702,0.855421686746988,0.29203966647422924,0.37155206752793185
0.8,13,none,-,0.9117647058823529,0.7209302325581395,0.8051948051948051,nan,nan
0.8,13,abs,1,0.9696969696969697,0.7441860465116279,0.8421052631578948,0.30389340064991505,0.41434174204718266
0.8,14,none,-,0.6814159292035398,0.8555555555555555,0.7586206896551723,nan,nan
0.8,14,abs,1,0.9746835443037974,0.8555555555555555,0.9112426035502957,0.27716432276348857,0.36308001938596135
0.8,15,none,-,0.8842105263157894,0.8155339805825242,0.8484848484848484,nan,nan
0.8,15,abs,1,0.8348623853211009,0.883495145631068,0.8584905660377358,0.2763256923449798,0.3746449214340828
0.8,16,none,-,0.9240506329113924,0.73,0.8156424581005587,nan,nan
0.8,16,abs,1,0.8426966292134831,0.75,0.7936507936507935,0.25029162684944145,0.30444540064490866
0.8,17,none,-,0.25287356321839083,0.673469387755102,0.36768802228412256,nan,nan
0.8,17,abs,1,0.8048780487804879,0.673469387755102,0.7333333333333334,0.2824638475613993,0.35798654358586646
0.8,18,none,-,0.5048543689320388,0.6582278481012658,0.5714285714285714,nan,nan
0.8,18,abs,1,0.9666666666666667,0.7341772151898734,0.8345323741007195,0.2597662947429506,0.32142823669202036
0.8,19,none,-,0.3901098901098901,0.7171717171717171,0.505338078291815,nan,nan
0.8,19,abs,1,0.9726027397260274,0.7171717171717171,0.8255813953488372,0.28057819612477003,0.3529281992712871
