train_frac,seed,config,lam_att,bbox_P,bbox_R,bbox_F1,attn_band_iou,attn_gap
0.8,10,none,-,0.7037037037037037,0.75,0.7261146496815287,nan,nan
0.8,10,abs,0.7,0.7619047619047619,0.8421052631578947,0.8,0.39234581497797355,0.551274836464899
0.8,10,abs,1,0.7777777777777778,0.8289473684210527,0.802547770700637,0.3894279507603186,0.5240663909780964
0.8,11,none,-,0.7936507936507936,0.7692307692307693,0.7812500000000001,nan,nan
0.8,11,abs,0.7,0.7794117647058824,0.8153846153846154,0.7969924812030074,0.40426962514708353,0.5240391754754343
0.8,11,abs,1,0.6951219512195121,0.8769230769230769,0.7755102040816327,0.405054871965414,0.5297602987943256
0.8,12,none,-,0.5495495495495496,0.8714285714285714,0.6740331491712707,nan,nan
0.8,12,abs,0.7,0.673469387755102,0.9428571428571428,0.7857142857142857,0.42319376568485007,0.5802910804786547
0.8,12,abs,1,0.6938775510204082,0.9714285714285714,0.8095238095238094,0.3652460984393758,0.6593960260934367
0.8,13,none,-,0.72,0.7105263157894737,0.7152317880794702,nan,nan
0.8,13,abs,0.7,0.8695652173913043,0.7894736842105263,0.8275862068965517,0.39721150993770393,0.5343972124736661
0.8,13,abs,1,0.75,0.8289473684210527,0.7875,0.3901081424936387,0.4934090440730536
0.8,14,none,-,0.7386363636363636,0.8552631578947368,0.7926829268292682,nan,nan
0.8,14,abs,0.7,0.7906976744186046,0.8947368421052632,0.8395061728395061,0.3008397225264695,0.33010026896301164
0.8,14,abs,1,0.7446808510638298,0.9210526315789473,0.8235294117647057,0.31255565449688333,0.3599792034822583
0.8,15,none,-,0.6708860759493671,0.7162162162162162,0.6928104575163399,nan,nan
0.8,15,abs,0.7,0.7195121951219512,0.7972972972972973,0.7564102564102565,0.3998853375376236,0.5257355340267057
0.8,15,abs,1,0.9322033898305084,0.7432432432432432,0.8270676691729323,0.36698817672682016,0.44853697880290033
0.8,16,none,-,0.6352941176470588,0.8307692307692308,0.7199999999999999,nan,nan
0.8,16,abs,0.7,0.6941176470588235,0.9076923076923077,0.7866666666666665,0.3901368012160108,0.48471675598661285
0.8,16,abs,1,0.7195121951219512,0.9076923076923077,0.802721088435374,0.3830707979920374,0.470470915486732
0.8,17,none,-,0.7,0.8513513513513513,0.7682926829268292,nan,nan
0.8,17,abs,0.7,0.7792207792207793,0.8108108108108109,0.794701986754967,0.4206260924837121,0.511149578725406
0.8,17,abs,1,0.8243243243243243,0.8243243243243243,0.8243243243243243,0.36990650908449463,0.4096971941233983
0.8,18,none,-,0.6344086021505376,0.8194444444444444,0.7151515151515151,nan,nan
0.8,18,abs,0.7,0.6421052631578947,0.8472222222222222,0.7305389221556887,0.450570835495589,0.5700613980808733
0.8,18,abs,1,0.7325581395348837,0.875,0.7974683544303797,0.4520547945205479,0.6248942556867033
0.8,19,none,-,0.6395348837209303,0.8461538461538461,0.728476821192053,nan,nan
0.8,19,abs,0.7,0.6823529411764706,0.8923076923076924,0.7733333333333334,0.4250950570342205,0.5925325451796514
0.8,19,abs,1,0.6067415730337079,0.8307692307692308,0.7012987012987013,0.41450276243093925,0.6482096569569857
