metric,direction,best_lambda,best_mean,best_std
detection_precision,max,0.1,0.56225810890655,0.09437801088525881
detection_recall,max,0.0,0.5078111206916638,0.10359683092026611
mean_match_iou,max,10.0,0.3345016370150569,0.030365325657579517
mae_x_vertex,min,2.0,8.012921017034929,2.492052809668599
mae_y_vertex,min,0.0,9.971099127623082,1.5963761444475937
mae_width,min,5.0,27.892850380396375,4.844767688220884
mae_height,min,0.5,30.476093888948363,3.2990364037136315
mae_thickness,min,0.0,11.825766864961494,3.8549420082231656
rmse_x_vertex,min,5.0,10.679062171860135,2.035630342300814
rmse_y_vertex,min,0.0,12.306325686237852,2.1333270881529303
rmse_width,min,5.0,34.32779456222968,8.833800975395901
rmse_height,min,0.5,38.24600806568365,5.504920034010952
rmse_thickness,min,0.0,15.317567834153985,4.991294360490725
